"item","value","pass_flag","severity","notes"
"matlab_exit_code","0","1","INFO","source=matlab_main_after_fixes_run_status.csv"
"runtime_seconds","797.898","1","INFO","source=matlab_main_after_fixes_run_status.csv"
"last_completed_phase","Phase12E_final_comparison","1","BLOCKER","Pre-Phase-13 audit expects Phase12E as last completed phase when Phase 13 is disabled."
"total_validation_errors","0","1","INFO","Across requested Phase 4-12 validation tables; warning failures counted separately."
"total_validation_warnings_failed","9","1","INFO","Expected weak-model/attach-rate warnings included."
"validation:phase10a_safety_enforced_validation.csv","errors=0; warnings=1; rows=18","1","INFO",""
"validation:phase11a_coordination_validation.csv","errors=0; warnings=0; rows=20","1","INFO",""
"validation:phase11b_final_coordination_validation.csv","errors=0; warnings=0; rows=21","1","INFO",""
"validation:phase12a_feasibility_validation.csv","errors=0; warnings=0; rows=15","1","INFO",""
"validation:phase12b_action_state_validation.csv","errors=0; warnings=0; rows=16","1","INFO",""
"validation:phase12c_kpi_eligible_validation.csv","errors=0; warnings=0; rows=20","1","INFO",""
"validation:phase12d_one_step_validation.csv","errors=0; warnings=1; rows=22","1","INFO",""
"validation:phase12e_final_comparison_validation.csv","errors=0; warnings=1; rows=20","1","INFO",""
"validation:phase4_dataset_validation.csv","errors=0; warnings=0; rows=13","1","INFO",""
"validation:phase4b_ml_feature_validation.csv","errors=0; warnings=0; rows=25","1","INFO",""
"validation:phase5_clustering_validation.csv","errors=0; warnings=1; rows=15","1","INFO",""
"validation:phase6a_cod_dataset_validation.csv","errors=0; warnings=0; rows=16","1","INFO",""
"validation:phase6b_cod_model_validation.csv","errors=0; warnings=0; rows=12","1","INFO",""
"validation:phase7a_dataset_validation.csv","errors=0; warnings=0; rows=18","1","INFO",""
"validation:phase7b_tp_qp_validation.csv","errors=0; warnings=3; rows=23","1","INFO",""
"validation:phase7c_tp_qp_diagnostic_validation.csv","errors=0; warnings=0; rows=12","1","INFO",""
"validation:phase8a_candidate_action_validation.csv","errors=0; warnings=0; rows=16","1","INFO",""
"validation:phase8b_counterfactual_validation.csv","errors=0; warnings=0; rows=58","1","INFO",""
"validation:phase8c_oracle_validation.csv","errors=0; warnings=0; rows=13","1","INFO",""
"validation:phase9a_action_value_validation.csv","errors=0; warnings=0; rows=17","1","INFO",""
"validation:phase9b_action_value_validation.csv","errors=0; warnings=2; rows=17","1","INFO",""
