"area","check","status","severity","notes"
"workflow","last completed run stage","Phase13_final_thesis_result_package","INFO","Latest run timing log."
"config","Phase 13 enabled in config","True","INFO","Current cfg.enablePhase13 is true."
"documentation","README says Phase 13 disabled by default","True","MAJOR","README/config mismatch if true while cfg enables Phase 13."
"validation","failed validation errors in result tables","0","INFO","Counts *validation*.csv under results/tables."
"validation","failed validation warnings in result tables","10","INFO","Warnings include QP bimodality, weak action-value R2, residual unsafe fallback, attach tradeoff."
"phase13_package","package validation failed errors","0","INFO","Final thesis package validation."
"coordination","final coordinator decisions","499","INFO","Expected current count 499."
"coordination","final executable actions","206","INFO","Current duplicate-free count 206."
"application","KPI-update eligible actions","60","INFO","COC/OH and LB/MLB only."
"application","one-step applied actions","60","INFO","Equals eligible actions."
"duplicates","Phase 11B executable duplicate app target/state","0","INFO","Should be 0."
"duplicates","Phase 12C eligible duplicate app target/state","0","INFO","Should be 0."
"duplicates","Phase 12D applied duplicate app target/state","0","INFO","Should be 0."
"KPI","mean delta attach","-0.0261","WARNING","Attach decreases; documented tradeoff."
"KPI","mean delta RSRP dB","0.1758","INFO","One-step applied actions."
"KPI","mean delta SINR dB","0.2054","INFO","One-step applied actions."
"KPI","mean delta load","-0.0505","INFO","Negative means load reduced."
"KPI","mean delta QoS","0.0040","INFO","Small positive QoS delta."
"audit_gap","Phase 9C action-value audit exists","False","MAJOR","User requested Phase 9C earlier, but it was interrupted and no phase9c artifacts are present."
