module_name,feature_name,feature_role
COC/OH,source_sector_load,input_feature
COC/OH,target_sector_load,input_feature
COC/OH,source_mean_RSRP_dBm,input_feature
COC/OH,source_mean_SINR_dB,input_feature
COC/OH,source_qos_satisfaction_ratio,input_feature
COC/OH,source_handover_risk_score,input_feature
COC/OH,source_attach_rate_sector,input_feature
COC/OH,delta_prs_dB,input_feature
COC/OH,delta_tilt_deg,input_feature
COC/OH,delta_cio_dB,input_feature
COC/OH,is_no_op,input_feature
LB/MLB,source_sector_load,input_feature
LB/MLB,target_sector_load,input_feature
LB/MLB,source_mean_RSRP_dBm,input_feature
LB/MLB,source_mean_SINR_dB,input_feature
LB/MLB,source_qos_satisfaction_ratio,input_feature
LB/MLB,source_handover_risk_score,input_feature
LB/MLB,source_attach_rate_sector,input_feature
LB/MLB,delta_cio_dB,input_feature
LB/MLB,is_no_op,input_feature
ES,source_sector_load,input_feature
ES,target_sector_load,input_feature
ES,source_mean_RSRP_dBm,input_feature
ES,source_mean_SINR_dB,input_feature
ES,source_qos_satisfaction_ratio,input_feature
ES,source_handover_risk_score,input_feature
ES,source_attach_rate_sector,input_feature
ES,sleep_flag,input_feature
ES,es_action_code,input_feature
HO/MRO,source_sector_load,input_feature
HO/MRO,target_sector_load,input_feature
HO/MRO,source_mean_RSRP_dBm,input_feature
HO/MRO,source_mean_SINR_dB,input_feature
HO/MRO,source_qos_satisfaction_ratio,input_feature
HO/MRO,source_handover_risk_score,input_feature
HO/MRO,source_attach_rate_sector,input_feature
HO/MRO,delta_hom_dB,input_feature
HO/MRO,delta_ttt_ms,input_feature
HO/MRO,delta_cio_dB,input_feature
HO/MRO,is_no_op,input_feature
