kpi_name,min_allowed,max_allowed,out_of_range_count,observed_min,observed_max
rrc_setup_success_rate,0,1,0,0.9545,1
rrc_drop_rate,0,1,0,0,0.8285
erab_setup_success_rate,0,1,0,0.8662,1
erab_drop_rate,0,1,0,0,0.0735
cell_availability,0,1,0,0,1
dl_prb_utilization,0,1,0,0,0.9963
ul_prb_utilization,0,1,0,0,0.9144
dl_bler,0,1,0,0,0.9343
ul_bler,0,1,0,0,0.2427
active_users,0,Inf,0,0,60.0844
traffic_volume_dl_kbyte,0,Inf,0,0,5400377.96
traffic_volume_ul_kbyte,0,Inf,0,0,905963.49
rssi_avg_dbm,-140,-40,0,-120,-66.3925
tx_power_w,0,Inf,0,0,57.8771
