sim_site_id,sim_position,vendor_site_key,feature_name,standardized_coefficient,feature_mean,feature_std
1,CENTER,gemtel,users_lag_0steps,0.676768405500836,0,1
1,CENTER,gemtel,users_lag_4steps,0.0367599580534795,0,1
1,CENTER,gemtel,users_lag_92steps,0.153271294356093,0,1
1,CENTER,gemtel,intercept,2.44117986863473,NaN,NaN
2,NORTH,uulzwar,users_lag_0steps,0.606791360140676,0,1
2,NORTH,uulzwar,users_lag_4steps,0,0,1
2,NORTH,uulzwar,users_lag_92steps,0.366456569160312,0,1
2,NORTH,uulzwar,intercept,1.40775280872403,NaN,NaN
3,NORTHEAST,denver,users_lag_0steps,0.794752260198344,0,1
3,NORTHEAST,denver,users_lag_4steps,0,0,1
3,NORTHEAST,denver,users_lag_92steps,0.126758315953745,0,1
3,NORTHEAST,denver,intercept,2.56290123242208,NaN,NaN
4,SOUTHEAST,rivercastle,users_lag_0steps,0.490238046575495,0,1
4,SOUTHEAST,rivercastle,users_lag_4steps,0,0,1
4,SOUTHEAST,rivercastle,users_lag_92steps,0.477692262274753,0,1
4,SOUTHEAST,rivercastle,intercept,0.730849177307235,NaN,NaN
5,SOUTH,mkm,users_lag_0steps,0.484537187910585,0,1
5,SOUTH,mkm,users_lag_4steps,0,0,1
5,SOUTH,mkm,users_lag_92steps,0.481736747819106,0,1
5,SOUTH,mkm,intercept,0.910018231875497,NaN,NaN
6,SOUTHWEST,shutis,users_lag_0steps,0.278417123669742,0,1
6,SOUTHWEST,shutis,users_lag_4steps,0,0,1
6,SOUTHWEST,shutis,users_lag_92steps,0.672411272717186,0,1
6,SOUTHWEST,shutis,intercept,1.11305367776933,NaN,NaN
7,NORTHWEST,hiid,users_lag_0steps,0.311737596238467,0,1
7,NORTHWEST,hiid,users_lag_4steps,0,0,1
7,NORTHWEST,hiid,users_lag_92steps,0.638896297900498,0,1
7,NORTHWEST,hiid,intercept,2.27290164665622,NaN,NaN
