model_name,target,split,scenario_name,MAE,RMSE,R2,mean_error,median_absolute_error
QP_model,next_qos_satisfaction_ratio,validation,ALL,0.134671223691717,0.268449279998417,0.531025871601806,0.00137796820006206,0.0260109338763499
QP_model,next_qos_satisfaction_ratio,validation,normal,0.111681427768808,0.241128723338815,-0.0459117273122731,0.0136603324327658,0.02175120245026
QP_model,next_qos_satisfaction_ratio,validation,low_load,0.0097592541997006,0.0131588225725575,NaN,-0.00606972341445987,0.00770962381448503
QP_model,next_qos_satisfaction_ratio,validation,overload,0.212839135221601,0.344503948177568,0.499703251785434,-0.0133108906393649,0.090318800861417
QP_model,next_qos_satisfaction_ratio,validation,handover_stress,0.142899355820896,0.289506822467818,-0.0755011507253136,0.0104878732319551,0.0216367032236999
QP_model,next_qos_satisfaction_ratio,validation,mixed_conflict,0.196176945447581,0.315454740434335,0.590390195826704,0.00212224938941407,0.091265946297251
QP_model,next_qos_satisfaction_ratio,test,ALL,0.184673920293461,0.322244821299944,0.477843893878131,-0.0011785228655595,0.0612582818385697
QP_model,next_qos_satisfaction_ratio,test,normal,0.141073061873783,0.260661846889073,-0.120725306982034,-0.00347973911791475,0.0534314733819745
QP_model,next_qos_satisfaction_ratio,test,low_load,0.0113395339175986,0.0146635031293718,NaN,-0.00745465527660141,0.009538866878264
QP_model,next_qos_satisfaction_ratio,test,overload,0.296397349192867,0.42180372736348,0.259152790621351,0.0157543496721355,0.181099511474427
QP_model,next_qos_satisfaction_ratio,test,handover_stress,0.176637637232153,0.307073250155809,-0.167501661885161,-0.0213508944242187,0.06181838475302
QP_model,next_qos_satisfaction_ratio,test,mixed_conflict,0.297922019250904,0.422890815869226,0.239996646175017,0.0106383248188019,0.18312473475605
QP_persistence,next_qos_satisfaction_ratio,validation,ALL,0.0962396601833222,0.309688067990995,0.375872464559358,-0.0100871898054997,0
QP_persistence,next_qos_satisfaction_ratio,validation,normal,0.0769058797227811,0.27644437399674,-0.374714934787332,-0.00536552649228706,0
QP_persistence,next_qos_satisfaction_ratio,validation,low_load,0,0,NaN,0,0
QP_persistence,next_qos_satisfaction_ratio,validation,overload,0.169148222669349,0.41075416072143,0.288781220163306,-0.0194500335345406,0
QP_persistence,next_qos_satisfaction_ratio,validation,handover_stress,0.104359490274983,0.322215669429273,-0.332252631987264,-0.00617035546613011,0
QP_persistence,next_qos_satisfaction_ratio,validation,mixed_conflict,0.130784708249497,0.361344831414268,0.462547705789424,-0.0194500335345406,0
QP_persistence,next_qos_satisfaction_ratio,test,ALL,0.136722096245906,0.369197597918965,0.314596684046931,-0.000793650793650794,0
QP_persistence,next_qos_satisfaction_ratio,test,normal,0.103174603174603,0.320373257097895,-0.692999211071647,0,0
QP_persistence,next_qos_satisfaction_ratio,test,low_load,0,0,NaN,0,0
QP_persistence,next_qos_satisfaction_ratio,test,overload,0.223544973544974,0.472357590308119,0.0709274691200603,-0.00264550264550264,0
QP_persistence,next_qos_satisfaction_ratio,test,handover_stress,0.122102544721592,0.348936756032342,-0.507533509654175,0,0
QP_persistence,next_qos_satisfaction_ratio,test,mixed_conflict,0.23478835978836,0.483752782782785,0.00549732760262922,-0.00132275132275132,0
QP_train_mean,next_qos_satisfaction_ratio,validation,ALL,0.314334928336542,0.392163014787085,-0.00082388902363828,-0.0112518040287358,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,validation,normal,0.236246122145971,0.2751163838521,-0.361538881253061,-0.141768235953619,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,validation,low_load,0.201124372774544,0.201124372774545,NaN,-0.201124372774544,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,validation,overload,0.432579922789721,0.521651781472689,-0.147098370540306,0.18680319261781,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,validation,handover_stress,0.251771193240852,0.302178509435668,-0.171710773753026,-0.115678363384873,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,validation,mixed_conflict,0.449953030731631,0.537946726143296,-0.19117279093441,0.215508759351546,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,test,ALL,0.364754116641734,0.451920252116845,-0.0269565654083153,0.0732180308535734,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,test,normal,0.239546270030149,0.281279899582256,-0.305033437684754,-0.135988318352776,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,test,low_load,0.201124372774544,0.201124372774545,NaN,-0.201124372774544,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,test,overload,0.558245493160538,0.630700546230425,-0.656358105295023,0.397023775373602,0.798875627225455
QP_train_mean,next_qos_satisfaction_ratio,test,handover_stress,0.253894970847889,0.305574617680134,-0.156133778704574,-0.11229532263597,0.201124372774545
QP_train_mean,next_qos_satisfaction_ratio,test,mixed_conflict,0.570959476395545,0.640649006982832,-0.744212186511511,0.418474392657552,0.798875627225455
